,user_id,group,visit_id,visit_duration
0,AOXLT0,a,76v7fwlgmxa73cx08zvh,125.0
1,AOXLT0,a,dse16a8xow680xn4ly3o,115.0
2,AOXLT0,a,ei17obrkatjb0uglqglr,117.0
3,AOXLT0,a,cp9aczsn0zd8a7u9qoel,115.0
4,AOXLT0,a,t421ljy1eg7qpdx3dask,123.0
5,AOXLT0,a,esmujx12faik8o2vrzw3,127.0
6,AOXLT0,a,9h3jn0awvbrq333jnwir,128.0
7,AOXLT0,a,spqbn14jeo18ltn8xqle,129.0
8,AOXLT0,a,gioz1l5xkvjoshyc9aqc,135.0
9,X2TCUZ,a,97912bbzsj4fy85hhn7k,76.0
10,X2TCUZ,a,62epsz0kgghtm1l5s12l,73.0
11,X2TCUZ,a,hiq2j8j6lz3pftybipeo,67.0
12,X2TCUZ,a,pebd814y2it8g89w5gm8,78.0
13,X2TCUZ,a,7jr0a4r6qwfh1w293pla,82.0
14,X2TCUZ,a,a4fcqxu5btfys7kopwsa,71.0
15,X2TCUZ,a,2wowo8uk6h9iifebgj1d,92.0
16,X2TCUZ,a,agwpacl8sv97v938vodd,72.0
17,X2TCUZ,a,4y9vgcgg8zz4gnrvbtzi,62.0
18,HA76WZ,a,jp6sylqm3rcfuy6r8f33,63.0
19,HA76WZ,a,mrknohtd7yqquq9h12xx,67.0
20,HA76WZ,a,0luix5n343d0al8k8tar,46.0
21,HA76WZ,a,ms9vakzmkbe1zfhxrdnf,77.0
22,HA76WZ,a,v9f356d3o17smzcog6n5,52.0
23,HA76WZ,a,pi3i814fiaviynzlamat,75.0
24,2U1R3J,a,2wzf4fm3zv9ur5wd1i35,107.0
25,2U1R3J,a,yd7nkyig2vv244lnbbks,103.0
26,2U1R3J,a,jt249yjw5op9mil16xxm,82.0
27,2U1R3J,a,yju46366llr6ifj0zox7,110.0
28,2U1R3J,a,ucj69121bwkkzpdiogjv,86.0
29,2U1R3J,a,yseq4q3y420cj70f5pyy,113.0
30,LOIQER,a,6ts90yuux961ypbf33ok,124.0
31,LOIQER,a,pgz3a1ybzyyroiu6tu33,115.0
32,LOIQER,a,j30wq1cfhscx1zxxo2zq,119.0
33,LOIQER,a,b6xk7u1e26hbqlrubfvx,128.0
34,LOIQER,a,q2ijnik2lmys2n8dbe6a,113.0
35,LOIQER,a,xzm4dib3j86kgx6bhkd3,111.0
36,LOIQER,a,dg7xaw5eypmf3j6s9csq,116.0
37,LOIQER,a,zylt47d696qdsoqnpqqe,119.0
38,LOIQER,a,83g8qr0ojhiry2pnsug5,122.0
39,3OZB18,a,0u963i5mek9r6gf2gzdv,81.0
40,3OZB18,a,7560jajhu6bpiil2efl4,96.0
41,3OZB18,a,keg0w11phzdvha4mzkwv,88.0
42,3OZB18,a,rqfajgtac7y1rfb7nvg5,98.0
43,3OZB18,a,2uveuaf3mqsievzv34x9,86.0
44,3OZB18,a,czt2yeh16lfb689vqyu7,83.0
45,3OZB18,a,ihihi8jm6xhfc9aw2xy3,111.0
46,3OZB18,a,n9o6rhyrra9vkstde8ag,104.0
47,3OZB18,a,m6h8cpv80zabstsussc8,87.0
48,NJK2O1,a,bt3evcw57mdy5b7zccoc,86.0
49,NJK2O1,a,kl5qe2r44ayy2p9a3xpc,109.0
50,NJK2O1,a,k1u87sgg84crnefewbrh,94.0
51,NJK2O1,a,8djq1xsm5tb718yxv4ov,98.0
52,NJK2O1,a,wnkqujcy9qksl3h3w3lh,106.0
53,NJK2O1,a,xf85x2ggg2wzn4j3qz8z,91.0
54,NJK2O1,a,oqhriwni5houdeowvcgc,95.0
55,EG5KGJ,a,m0asr4v7d1vq6isep1yy,116.0
56,EG5KGJ,a,ye9w09gd3butg1wd33uw,141.0
57,EG5KGJ,a,1j1r6mfcgkrvl7k2uj2y,116.0
58,EG5KGJ,a,jg8epkzyorhexglejo6c,140.0
59,L3AULL,a,e1nctc2ivn9n1jv9pmxs,85.0
60,L3AULL,a,ljkupl3d16f8q69kurx6,94.0
61,L3AULL,a,tfl87glk5h0pym05jax1,62.0
62,L3AULL,a,1gufk8lew3baqkondt6v,102.0
63,L3AULL,a,wkn3dzapxf7915775ti7,82.0
64,L3AULL,a,rilm4mq5u4mdk4kgg767,68.0
65,L3AULL,a,z5hho8c785615fkbjx9t,67.0
66,L3AULL,a,3isj4yvnbp8jy2kvacvd,83.0
67,D0I1KW,a,cnmzoc2tu8xq708i6u80,44.0
68,D0I1KW,a,70p8psn39y6im12yl2wk,51.0
69,D0I1KW,a,hcovjtsaianhk9211f74,54.0
70,D0I1KW,a,5nrrie5lt3pht5uw2z4z,72.0
71,D0I1KW,a,6aybuvgd21q7xp9d0xr1,60.0
72,D0I1KW,a,1e7lnmlvqhuwl42mcju5,69.0
73,RJP37S,a,crm26ce16ybrywgobm8q,122.0
74,RJP37S,a,nip4qf89dhuayvfz8pxg,120.0
75,RJP37S,a,2z12ryekabv718mqgv3c,102.0
76,RJP37S,a,zzdyflrdnhzktwhv3qrp,109.0
77,RJP37S,a,24peswpalchphq5bb7fr,105.0
78,RJP37S,a,y0w9q6cjgwaps56v6he1,119.0
79,F12P9L,a,4s1f63qj8e77o0vd0kkc,115.0
80,F12P9L,a,55sz4udio9ersulub0gk,130.0
81,F12P9L,a,jd7sz92491dll3o2pg58,115.0
82,F12P9L,a,a959qfuuv259aiekqp1m,110.0
83,HG0NUD,a,48asgz31hdlf5j8qtyit,104.0
84,HG0NUD,a,d18tj8clryyrkmwbdyw4,95.0
85,HG0NUD,a,o2s67rn4usjkgkajb69a,99.0
86,HG0NUD,a,ybvb6uilplf6q7wddv6h,108.0
87,LGU0BU,a,xq95tgw71mjoiign9qve,87.0
88,LGU0BU,a,5oyv15g0yrynip5obcm5,90.0
89,LGU0BU,a,b40vnzz826o6q6fvag1t,90.0
90,LGU0BU,a,mwe1o1ycvfyxgv8n2415,82.0
91,LGU0BU,a,7txtqe8szg3b3s2w3y5r,70.0
92,LGU0BU,a,qkb18x0yc04876da4xjd,72.0
93,LGU0BU,a,xqj1bvmwi84l77eytzvu,82.0
94,4R896Z,a,pxcqbk0eiex375jncy3b,91.0
95,4R896Z,a,dj6blzfwtsrcq21mh8qh,110.0
96,4R896Z,a,sjmfnxwxtoik6qnlce8l,103.0
97,4R896Z,a,bt9briimfre238pf0waf,102.0
98,4R896Z,a,7qp4meeu0xqgu38mglbn,89.0
99,4R896Z,a,ygqmgdql7o4balecv9t7,91.0
100,4R896Z,a,y30ba5qnlzrdxxwtov8d,90.0
101,KFDHLU,a,tasll70a7pih6bz2lvs6,68.0
102,KFDHLU,a,eq7zlk1a32nke8m2gwuc,54.0
103,KFDHLU,a,zw31meig36oglhiwk72s,87.0
104,95CM7L,a,m8z68wrald1ugl7vdnmr,98.0
105,95CM7L,a,xp902ogl5rsi2rvpcos4,77.0
106,95CM7L,a,xgu5bwko1kzbr0im1cbu,89.0
107,95CM7L,a,8a93tnb0dl8el9cmy4t5,79.0
108,95CM7L,a,4c9brkycfcszl5224o3q,98.0
109,95CM7L,a,tlb9t88u1vslyaurajgw,96.0
110,95CM7L,a,wh3wmk63aonwokp7ce7a,98.0
111,95CM7L,a,pz687q80387nedg84vht,91.0
112,95CM7L,a,feiy5n195mmpqdukj3n5,80.0
113,98HJ39,a,qbgo22aks1epekm5tufq,104.0
114,98HJ39,a,osef4avbjdi3qqfrqf69,116.0
115,98HJ39,a,jmk90561a1sxruagrwym,109.0
116,98HJ39,a,r7e9b7spl4g9i2exdjix,117.0
117,98HJ39,a,2lu8jqi3qd2k98nybxse,114.0
118,98HJ39,a,rmoorj40ibba16ymxdq1,98.0
119,98HJ39,a,w0vb9pdljnrdzofakeit,126.0
120,A1UT0C,a,3coej9wava0svj743rtw,99.0
121,A1UT0C,a,xatsi50c1f4l3ej7r9bc,100.0
122,A1UT0C,a,rcz7csucyofxbta8t07i,103.0
123,A1UT0C,a,8me8viph18ipomz73lsh,95.0
124,A1UT0C,a,f6iyrsj722h8h073r7a4,73.0
125,A1UT0C,a,de56wbkvuu9yhe8xdbwh,107.0
126,A1UT0C,a,pl7r6xj03zxjrdsg8o70,80.0
127,A1UT0C,a,08bu3w16ggtvg5ffrf4s,114.0
128,6KTZE8,a,bawrooa2slg7vtpe2bwg,114.0
129,6KTZE8,a,4eqdng656xaol26bnyrc,104.0
130,6KTZE8,a,i9zo3941539mrunf6pes,125.0
131,6KTZE8,a,685xmy911ox845tbokze,121.0
132,6KTZE8,a,izboiv8h6ecnzyrovla2,111.0
133,6KTZE8,a,jswt590lwj2qvt87rjct,125.0
134,6KTZE8,a,50b8lmi3wtbekr37fncs,129.0
135,6KTZE8,a,ztdatsqn9hoo0b0yizvm,102.0
136,6KTZE8,a,7bhvmp2yk37fun2r3azb,118.0
137,219UTW,a,2rd0hr2p47swk8fd3ynx,113.0
138,219UTW,a,ahipbydpzm0ln8rftz13,101.0
139,219UTW,a,ldu9rhxhdt7eo2715jk9,109.0
140,D0XZRQ,a,j55324wpcm4p5ilt2xdu,129.0
141,D0XZRQ,a,wr75w8yx8okqhpnfne3f,105.0
142,D0XZRQ,a,gl5bp2hfdul7ohxypjuc,110.0
143,D0XZRQ,a,xb1apepnelv7d1udgn78,114.0
144,D0XZRQ,a,0b6vixbmrfiadwv9af2d,110.0
145,D0XZRQ,a,npwj6nl6riqdbdv132ga,115.0
146,D0XZRQ,a,r6zelxufkoayfdei2yz3,119.0
147,D0XZRQ,a,zizq0x0qxbwyjk73tbzn,110.0
148,D0XZRQ,a,q2ksfy645hrmli1vde0z,117.0
149,55JLG8,a,oc3ilgswrlh2yjv1o9vo,73.0
150,55JLG8,a,gq93raq7q7ga23lx59dh,68.0
151,55JLG8,a,ghul9p2itplmzmkatscf,79.0
152,55JLG8,a,v6xbtklhowabeyu7lgz9,68.0
153,55JLG8,a,r79333m25qfv25sfkf3x,72.0
154,94CFP6,a,wyq48wu5k9msz6i6oy25,82.0
155,94CFP6,a,i715t4xfpmtlceu4fzy8,102.0
156,94CFP6,a,met9atdovihah158d9wl,95.0
157,94CFP6,a,uqlpsiinnhjrc19eyc0e,88.0
